0.5	0	0.2	0.08	0.17	0.19	0.11
1	0	0.7	0.78	0.64	0.61	0.7
1.5	0	1.18	1.26	1.25	1.24	1.23
2	0	1.81	1.93	1.81	1.93	1.88
2.5	2.62	2.49	2.46	2.46	2.58	2.53
3	3.15	3.18	3.24	3.28	3.13	0
3.5	3.9	3.84	3.86	3.97	3.96	0
4	4.59	4.71	4.61	4.6	4.6	0
4.5	5.41	5.35	5.49	5.46	5.39	0
5	6.24	6.27	6.1	6.24	6.16	0
4.5	5.71	5.74	5.78	5.87	5.82	0
4	4.96	5.11	5.08	5.03	5.03	0
3.5	4.22	4.34	4.21	4.22	4.24	0
3	3.57	3.64	3.66	3.55	3.67	0
2.5	2.98	2.86	2.98	2.98	2.94	0
2	2.22	2.23	2.26	2.29	2.26	0
1.5	1.57	1.7	1.69	1.63	1.57	0
1	1.07	1.07	1.11	1.16	1.11	0
0.5	0.52	0.61	0.61	0.61	0.45	0
0	0.02	0.08	0.08	-0.03	0.06	0
		
