 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1,144.000,0.000,144,144,0.015,1.000,0.008,144,144,-436.008,0,144,590,0,135.000,0.005,1.000,1.000,1.000
2,2,139.500,7.778,134,145,0.023,1.000,0.012,279,145,-5569.477,0,279,592,0,153.435,0.005,2.000,0.500,1.000
3,129,201.721,26.178,138,235,0.222,1.000,0.077,26022,212,2.896,0,26022,22,6,146.310,0.064,1.081,0.925,0.931
4,102,195.196,26.571,135,229,0.192,1.000,0.069,19910,207,2.782,0,19910,6,4,122.471,0.053,1.099,0.910,0.971
5,108,194.306,27.262,128,230,0.201,1.000,0.072,20985,207,0.102,0,20985,44,16,53.973,0.053,1.190,0.840,0.935
6,124,197.774,26.606,135,225,0.225,1.000,0.083,24524,209,0.557,0,24524,59,16,39.806,0.063,1.094,0.914,0.932
7,119,203.244,25.322,135,234,0.210,1.000,0.077,24186,210,1.314,0,24186,79,5,146.310,0.058,1.132,0.883,0.956
8,125,193.352,25.069,130,222,0.221,1.000,0.080,24169,206,5.009,0,24169,117,15,36.870,0.058,1.115,0.897,0.943
9,91,195.000,23.206,128,223,0.196,1.000,0.069,17745,204,2.906,0,17745,138,4,122.471,0.053,1.091,0.917,0.910
10,96,188.833,21.991,131,221,0.192,1.000,0.071,18128,195,4.377,0,18128,192,15,41.987,0.053,1.063,0.941,0.941
11,120,187.050,25.171,130,222,0.241,1.000,0.084,22446,196,-1.451,0,22446,268,4,124.695,0.064,1.129,0.886,0.886
12,95,188.463,22.588,132,216,0.192,1.000,0.068,17904,196,3.020,0,17904,99,5,128.660,0.053,1.026,0.975,0.936
13,112,199.920,23.094,141,237,0.203,1.000,0.077,22391,209,0.703,0,22391,153,14,33.690,0.053,1.214,0.824,0.974
14,112,201.545,24.924,135,232,0.203,1.000,0.077,22573,212,4.387,0,22573,173,14,33.690,0.053,1.214,0.824,0.974
15,116,196.526,26.126,131,229,0.209,1.000,0.077,22797,209,3.803,0,22797,210,6,146.310,0.053,1.198,0.835,0.983
16,95,183.105,22.956,130,211,0.192,1.000,0.068,17395,192,3.178,0,17395,231,5,128.660,0.053,1.027,0.974,0.936
17,121,188.818,23.912,127,220,0.218,1.000,0.077,22847,199,-0.460,0,22847,247,7,146.310,0.058,1.113,0.899,0.960
18,88,187.750,22.182,126,212,0.191,1.000,0.067,16522,196,7.227,0,16522,288,5,118.610,0.053,1.119,0.894,0.898
19,117,189.513,25.084,129,220,0.207,1.000,0.074,22173,200,5.032,0,22173,304,7,149.744,0.058,1.116,0.896,0.955
20,103,178.058,25.773,130,211,0.201,1.000,0.069,18340,187,-0.247,0,18340,325,16,57.529,0.058,1.034,0.967,0.932
21,120,190.600,28.658,125,228,0.210,1.000,0.077,22872,200,1.092,0,22872,341,7,146.310,0.058,1.100,0.909,0.964
22,120,190.067,29.145,127,225,0.211,1.000,0.075,22808,203,-2.057,0,22808,361,15,39.289,0.058,1.093,0.915,0.960
23,95,183.937,24.044,130,214,0.194,1.000,0.069,17474,193,0.380,0,17474,381,16,57.529,0.053,1.129,0.886,0.941
24,121,191.603,29.202,132,234,0.210,1.000,0.077,23184,202,1.327,0,23184,398,15,33.690,0.058,1.111,0.900,0.968
25,118,194.280,24.954,128,230,0.210,1.000,0.077,22925,207,1.673,0,22925,435,7,146.310,0.058,1.148,0.871,0.952
26,118,194.542,24.922,130,229,0.210,1.000,0.077,22956,206,3.284,0,22956,455,7,146.310,0.058,1.141,0.876,0.952
