 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.0,120.000,8.485,114,126,5.657,0.785,2.828,240,126,207.269,0,240,542,13,45.000,1.414,2.646,0.378,0.667
2,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,NaN,0,130,508,14,135.000,1.000,1.000,1.000,1.000
3,2,123.500,4.950,120,127,4.828,1.000,2.236,247,127,417.695,0,247,173,37,116.565,1.000,2.000,0.500,1.000
4,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,0,122,323,51,135.000,1.000,1.000,1.000,1.000
5,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,-360.999,0,119,619,51,135.000,1.000,1.000,1.000,1.000
6,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,358.999,0,121,325,53,135.000,1.000,1.000,1.000,1.000
7,5,117.000,3.606,112,122,9.657,0.674,4.472,585,117,479.354,0,585,617,58,63.435,2.000,2.610,0.383,0.769
8,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,-378.999,0,125,221,59,135.000,1.000,1.000,1.000,1.000
9,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,-387.999,0,128,249,77,135.000,1.000,1.000,1.000,1.000
10,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,358.999,0,121,387,77,135.000,1.000,1.000,1.000,1.000
11,3,107.333,4.041,105,112,8.485,0.524,3.162,322,105,-1.500,0,322,196,88,161.565,2.000,1.567,0.638,0.600
12,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,-360.999,0,119,175,93,135.000,1.000,1.000,1.000,1.000
13,2,104.000,9.899,97,111,5.657,0.785,2.828,208,111,-2.000,0,208,190,94,135.000,1.414,2.646,0.378,0.667
14,3,111.000,6.000,105,117,8.485,0.524,4.243,333,111,-1226133.592,0,333,196,99,45.000,1.414,4.123,0.243,0.600
15,2,121.500,0.707,121,122,5.657,0.785,2.828,243,122,-2.000,0,243,165,102,45.000,1.414,2.646,0.378,0.667
16,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,0,120,483,109,135.000,1.000,1.000,1.000,1.000
17,2,114.000,1.414,113,115,5.657,0.785,2.828,228,115,655.718,0,228,287,114,45.000,1.414,2.646,0.378,0.667
18,2,122.000,2.828,120,124,5.657,0.785,2.828,244,124,-2.000,0,244,148,115,45.000,1.414,2.646,0.378,0.667
19,1,117.000,0.000,117,117,2.828,1.000,1.414,117,117,NaN,0,117,178,114,135.000,1.000,1.000,1.000,1.000
20,1,129.000,0.000,129,129,2.828,1.000,1.414,129,129,383.008,0,129,563,115,135.000,1.000,1.000,1.000,1.000
21,2,106.000,4.243,103,109,5.657,0.785,2.828,212,109,-422.077,0,212,210,119,45.000,1.414,2.646,0.378,0.667
22,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,373.999,0,126,587,117,135.000,1.000,1.000,1.000,1.000
23,3,116.000,1.000,115,117,5.657,1.000,2.828,348,116,986.246,0,348,234,118,135.000,2.000,1.464,0.683,0.857
24,3,111.000,7.000,103,116,8.485,0.524,3.162,333,114,160.868,0,333,405,121,161.565,2.000,1.567,0.638,0.600
25,1,109.000,0.000,109,109,2.828,1.000,1.414,109,109,NaN,0,109,107,127,135.000,1.000,1.000,1.000,1.000
26,1,109.000,0.000,109,109,2.828,1.000,1.414,109,109,-331.000,0,109,227,129,135.000,1.000,1.000,1.000,1.000
27,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,-369.999,0,122,157,131,135.000,1.000,1.000,1.000,1.000
28,1,117.000,0.000,117,117,2.828,1.000,1.414,117,117,NaN,0,117,205,131,135.000,1.000,1.000,1.000,1.000
29,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,380.008,0,128,613,131,135.000,1.000,1.000,1.000,1.000
30,1,109.000,0.000,109,109,2.828,1.000,1.414,109,109,NaN,0,109,228,132,135.000,1.000,1.000,1.000,1.000
31,1,118.000,0.000,118,118,2.828,1.000,1.414,118,118,NaN,0,118,184,135,135.000,1.000,1.000,1.000,1.000
32,3,111.000,0.000,111,111,6.828,0.809,3.162,333,111,-504.000,0,333,229,135,108.435,1.000,3.000,0.333,1.000
33,5,113.400,7.301,102,120,8.485,0.873,4.243,567,115,-4520.891,0,567,477,138,45.000,2.121,2.308,0.433,0.769
34,6,112.000,5.657,105,118,9.899,0.769,4.472,672,115,-1095.398,0,672,189,137,153.435,2.530,2.153,0.464,0.667
35,1,133.000,0.000,133,133,2.828,1.000,1.414,133,133,NaN,0,133,586,142,135.000,1.000,1.000,1.000,1.000
36,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,0,125,517,143,135.000,1.000,1.000,1.000,1.000
37,1,129.000,0.000,129,129,2.828,1.000,1.414,129,129,NaN,0,129,533,145,135.000,1.000,1.000,1.000,1.000
38,1,112.000,0.000,112,112,2.828,1.000,1.414,112,112,NaN,0,112,478,146,135.000,1.000,1.000,1.000,1.000
39,2,110.500,3.536,108,113,5.657,0.785,2.828,221,113,277.900,0,221,498,146,135.000,1.414,2.646,0.378,0.667
40,3,108.667,9.292,98,115,8.485,0.524,3.162,326,113,-553.922,0,326,516,160,161.565,2.000,1.567,0.638,0.600
41,30,104.200,9.441,82,117,30.870,0.396,9.849,3126,107,-122.499,0,3126,352,169,23.962,7.603,1.550,0.645,0.566
42,1036,37.010,30.194,5,134,128.953,0.783,44.102,38342,23,1.648,0,38342,312,165,122.969,33.282,1.238,0.808,0.930
43,1,109.000,0.000,109,109,2.828,1.000,1.414,109,109,-331.000,0,109,368,168,135.000,1.000,1.000,1.000,1.000
44,2,119.500,3.536,117,122,5.657,0.785,2.828,239,122,304.447,0,239,608,175,45.000,1.414,2.646,0.378,0.667
45,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,0,123,487,177,135.000,1.000,1.000,1.000,1.000
46,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,0,119,606,178,135.000,1.000,1.000,1.000,1.000
47,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,370.999,0,125,268,180,135.000,1.000,1.000,1.000,1.000
48,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,-375.999,0,124,276,180,135.000,1.000,1.000,1.000,1.000
49,3,124.667,5.859,118,129,8.485,0.524,3.162,374,127,-14644.320,0,374,573,181,161.565,2.000,1.567,0.638,0.600
50,1,116.000,0.000,116,116,2.828,1.000,1.414,116,116,-352.000,0,116,626,180,135.000,1.000,1.000,1.000,1.000
51,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,0,125,274,182,135.000,1.000,1.000,1.000,1.000
52,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,0,122,520,182,135.000,1.000,1.000,1.000,1.000
53,1,117.000,0.000,117,117,2.828,1.000,1.414,117,117,NaN,0,117,575,183,135.000,1.000,1.000,1.000,1.000
54,1,116.000,0.000,116,116,2.828,1.000,1.414,116,116,343.999,0,116,577,183,135.000,1.000,1.000,1.000,1.000
55,3,121.000,6.557,114,127,8.485,0.524,4.243,363,122,-1.500,0,363,518,187,45.000,1.414,4.123,0.243,0.600
56,1,116.000,0.000,116,116,2.828,1.000,1.414,116,116,NaN,0,116,247,187,135.000,1.000,1.000,1.000,1.000
57,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,NaN,0,128,347,189,135.000,1.000,1.000,1.000,1.000
58,1,114.000,0.000,114,114,2.828,1.000,1.414,114,114,338.000,0,114,637,193,135.000,1.000,1.000,1.000,1.000
59,2,120.000,0.000,120,120,5.657,0.785,2.828,240,120,-2.000,0,240,306,197,45.000,1.414,2.646,0.378,0.667
60,1,118.000,0.000,118,118,2.828,1.000,1.414,118,118,-357.999,0,118,585,195,135.000,1.000,1.000,1.000,1.000
