 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.0,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,0,126,165,3,135.000,1.000,1.000,1.000,1.000
2,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,386.008,0,130,285,5,135.000,1.000,1.000,1.000,1.000
3,1,141.000,0.000,141,141,2.828,1.000,1.414,141,141,419.008,0,141,313,17,135.000,1.000,1.000,1.000,1.000
4,4,124.750,2.872,123,129,9.071,0.611,4.472,499,124,-0.691,0,499,358,26,153.435,1.897,3.093,0.323,0.667
5,1,134.000,0.000,134,134,2.828,1.000,1.414,134,134,-406.008,0,134,93,29,135.000,1.000,1.000,1.000,1.000
6,4,114.250,5.377,108,121,7.071,1.000,3.162,457,115,-35947.710,0,457,353,33,161.565,2.000,1.468,0.681,0.800
7,1,133.000,0.000,133,133,2.828,1.000,1.414,133,133,-403.008,0,133,363,35,135.000,1.000,1.000,1.000,1.000
8,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,386.008,0,130,151,37,135.000,1.000,1.000,1.000,1.000
9,1,134.000,0.000,134,134,2.828,1.000,1.414,134,134,NaN,0,134,165,57,135.000,1.000,1.000,1.000,1.000
10,1,136.000,0.000,136,136,2.828,1.000,1.414,136,136,NaN,0,136,334,66,135.000,1.000,1.000,1.000,1.000
11,1,138.000,0.000,138,138,2.828,1.000,1.414,138,138,410.008,0,138,429,67,135.000,1.000,1.000,1.000,1.000
12,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,-387.999,0,128,232,68,135.000,1.000,1.000,1.000,1.000
13,1,136.000,0.000,136,136,2.828,1.000,1.414,136,136,-412.008,0,136,336,68,135.000,1.000,1.000,1.000,1.000
14,1,142.000,0.000,142,142,2.828,1.000,1.414,142,142,-430.008,0,142,501,69,135.000,1.000,1.000,1.000,1.000
15,1,132.000,0.000,132,132,2.828,1.000,1.414,132,132,-400.008,0,132,197,73,135.000,1.000,1.000,1.000,1.000
16,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,386.008,0,130,139,79,135.000,1.000,1.000,1.000,1.000
17,2,118.000,4.243,115,121,5.657,0.785,2.828,236,121,-2.000,0,236,191,81,135.000,1.414,2.646,0.378,0.667
18,3,121.333,1.155,120,122,8.485,0.524,3.162,364,122,1006.930,0,364,165,85,108.435,2.000,1.567,0.638,0.600
19,1,129.000,0.000,129,129,2.828,1.000,1.414,129,129,NaN,0,129,329,85,135.000,1.000,1.000,1.000,1.000
20,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,386.008,0,130,519,85,135.000,1.000,1.000,1.000,1.000
21,2,113.500,7.778,108,119,5.657,0.785,2.828,227,119,-11116.583,0,227,1,94,45.000,1.414,2.646,0.378,0.667
22,2,126.500,3.536,124,129,5.657,0.785,2.828,253,129,-1102.851,0,253,196,95,45.000,1.414,2.646,0.378,0.667
23,1,140.000,0.000,140,140,2.828,1.000,1.414,140,140,416.008,0,140,549,93,135.000,1.000,1.000,1.000,1.000
24,4,128.750,5.852,120,132,11.314,0.393,4.472,515,132,307.333,0,515,597,98,26.565,2.530,2.179,0.459,0.500
25,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,386.008,0,130,451,97,135.000,1.000,1.000,1.000,1.000
26,3,118.333,5.686,112,123,8.485,0.524,3.162,355,120,-1575.891,0,355,299,101,108.435,2.000,1.567,0.638,0.600
27,1,131.000,0.000,131,131,2.828,1.000,1.414,131,131,-397.008,0,131,510,102,135.000,1.000,1.000,1.000,1.000
28,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,358.999,0,121,301,103,135.000,1.000,1.000,1.000,1.000
29,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,373.999,0,126,228,106,135.000,1.000,1.000,1.000,1.000
30,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,NaN,0,128,213,109,135.000,1.000,1.000,1.000,1.000
31,1,140.000,0.000,140,140,2.828,1.000,1.414,140,140,416.008,0,140,631,113,135.000,1.000,1.000,1.000,1.000
32,1,136.000,0.000,136,136,2.828,1.000,1.414,136,136,404.008,0,136,233,115,135.000,1.000,1.000,1.000,1.000
33,1,129.000,0.000,129,129,2.828,1.000,1.414,129,129,-391.008,0,129,223,119,135.000,1.000,1.000,1.000,1.000
34,1,138.000,0.000,138,138,2.828,1.000,1.414,138,138,-418.008,0,138,634,124,135.000,1.000,1.000,1.000,1.000
35,1,135.000,0.000,135,135,2.828,1.000,1.414,135,135,NaN,0,135,469,125,135.000,1.000,1.000,1.000,1.000
36,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,386.008,0,130,193,131,135.000,1.000,1.000,1.000,1.000
37,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,373.999,0,126,232,132,135.000,1.000,1.000,1.000,1.000
38,1,127.000,0.000,127,127,2.828,1.000,1.414,127,127,376.999,0,127,302,134,135.000,1.000,1.000,1.000,1.000
39,3,126.000,7.211,118,132,8.485,0.524,4.243,378,128,-15096.208,0,378,630,134,135.000,1.414,4.123,0.243,0.600
40,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,380.008,0,128,333,135,135.000,1.000,1.000,1.000,1.000
41,1,133.000,0.000,133,133,2.828,1.000,1.414,133,133,NaN,0,133,485,135,135.000,1.000,1.000,1.000,1.000
42,1,136.000,0.000,136,136,2.828,1.000,1.414,136,136,404.008,0,136,487,135,135.000,1.000,1.000,1.000,1.000
43,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,0,126,538,140,135.000,1.000,1.000,1.000,1.000
44,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,NaN,0,128,379,141,135.000,1.000,1.000,1.000,1.000
45,1,139.000,0.000,139,139,2.828,1.000,1.414,139,139,-421.008,0,139,483,145,135.000,1.000,1.000,1.000,1.000
46,1,135.000,0.000,135,135,2.828,1.000,1.414,135,135,-409.008,0,135,196,150,135.000,1.000,1.000,1.000,1.000
47,6,122.500,3.146,119,126,13.657,0.404,6.325,735,125,411.754,0,735,55,151,108.435,1.897,4.833,0.207,0.667
48,429,57.660,22.546,16,125,82.669,0.789,30.150,24736,50,0.612,0,24736,357,161,174.289,19.375,1.592,0.628,0.920
49,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,0,123,50,154,135.000,1.000,1.000,1.000,1.000
50,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,0,123,53,155,135.000,1.000,1.000,1.000,1.000
51,1,141.000,0.000,141,141,2.828,1.000,1.414,141,141,NaN,0,141,477,155,135.000,1.000,1.000,1.000,1.000
52,3,128.667,1.155,128,130,7.657,0.643,3.606,386,128,-12.448,0,386,485,156,123.690,1.789,2.702,0.370,0.667
53,2,124.000,1.414,123,125,5.657,0.785,2.828,248,125,-2.000,0,248,202,158,135.000,1.414,2.646,0.378,0.667
54,1,138.000,0.000,138,138,2.828,1.000,1.414,138,138,410.008,0,138,299,159,135.000,1.000,1.000,1.000,1.000
55,1,137.000,0.000,137,137,2.828,1.000,1.414,137,137,-415.008,0,137,315,159,135.000,1.000,1.000,1.000,1.000
56,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,NaN,0,130,251,161,135.000,1.000,1.000,1.000,1.000
57,1,127.000,0.000,127,127,2.828,1.000,1.414,127,127,376.999,0,127,253,161,135.000,1.000,1.000,1.000,1.000
58,1,135.000,0.000,135,135,2.828,1.000,1.414,135,135,NaN,0,135,504,162,135.000,1.000,1.000,1.000,1.000
59,1,133.000,0.000,133,133,2.828,1.000,1.414,133,133,-403.008,0,133,255,163,135.000,1.000,1.000,1.000,1.000
60,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,-369.999,0,122,347,167,135.000,1.000,1.000,1.000,1.000
61,1,131.000,0.000,131,131,2.828,1.000,1.414,131,131,-397.008,0,131,290,168,135.000,1.000,1.000,1.000,1.000
62,8,130.250,6.563,120,141,19.799,0.256,7.211,1042,130,166.351,0,1042,41,169,146.310,2.828,2.645,0.378,0.471
63,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,-378.999,0,125,347,169,135.000,1.000,1.000,1.000,1.000
64,2,121.500,7.778,116,127,5.657,0.785,2.828,243,127,-8262.450,0,243,384,176,135.000,1.414,2.646,0.378,0.667
65,1,129.000,0.000,129,129,2.828,1.000,1.414,129,129,NaN,0,129,310,178,135.000,1.000,1.000,1.000,1.000
66,1,109.000,0.000,109,109,2.828,1.000,1.414,109,109,323.000,0,109,343,181,135.000,1.000,1.000,1.000,1.000
67,2,135.000,0.000,135,135,5.657,0.785,2.828,270,135,-2.000,0,270,306,193,45.000,1.414,2.646,0.378,0.667
68,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,0,125,429,191,135.000,1.000,1.000,1.000,1.000
69,1,144.000,0.000,144,144,2.828,1.000,1.414,144,144,428.008,0,144,581,193,135.000,1.000,1.000,1.000,1.000
70,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,-394.008,0,130,299,195,135.000,1.000,1.000,1.000,1.000
71,2,125.000,1.414,124,126,5.657,0.785,2.828,250,126,699.389,0,250,324,213,45.000,1.414,2.646,0.378,0.667
72,1,128.000,0.000,128,128,2.828,1.000,1.414,128,128,380.008,0,128,375,211,135.000,1.000,1.000,1.000,1.000
73,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,373.999,0,126,409,211,135.000,1.000,1.000,1.000,1.000
74,1,139.000,0.000,139,139,2.828,1.000,1.414,139,139,413.008,0,139,182,214,135.000,1.000,1.000,1.000,1.000
75,3,117.000,11.269,104,124,5.657,1.000,2.828,351,123,59.250,0,351,304,218,135.000,2.000,1.464,0.683,0.857
76,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,-366.999,0,121,394,218,135.000,1.000,1.000,1.000,1.000
77,1,134.000,0.000,134,134,2.828,1.000,1.414,134,134,NaN,0,134,441,219,135.000,1.000,1.000,1.000,1.000
78,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,-394.008,0,130,638,232,135.000,1.000,1.000,1.000,1.000
79,1,140.000,0.000,140,140,2.828,1.000,1.414,140,140,NaN,0,140,207,233,135.000,1.000,1.000,1.000,1.000
80,1,129.000,0.000,129,129,2.828,1.000,1.414,129,129,383.008,0,129,7,235,135.000,1.000,1.000,1.000,1.000
81,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,-394.008,0,130,458,236,135.000,1.000,1.000,1.000,1.000
82,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,367.999,0,124,240,238,135.000,1.000,1.000,1.000,1.000
83,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,-381.999,0,126,304,240,135.000,1.000,1.000,1.000,1.000
84,1,130.000,0.000,130,130,2.828,1.000,1.414,130,130,NaN,0,130,47,241,135.000,1.000,1.000,1.000,1.000
