 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.0,27.000,0.000,27,27,2.828,1.000,1.414,27,27,NaN,100,27,405,1,135.000,1.000,1.000,1.000,1.000
2,1,15.000,0.000,15,15,2.828,1.000,1.414,15,15,NaN,100,15,613,1,135.000,1.000,1.000,1.000,1.000
3,2,24.000,4.243,21,27,5.657,0.785,2.828,48,27,-2.000,100,48,138,2,135.000,1.414,2.646,0.378,0.667
4,1,24.000,0.000,24,24,2.828,1.000,1.414,24,24,NaN,100,24,268,2,135.000,1.000,1.000,1.000,1.000
5,1,28.000,0.000,28,28,2.828,1.000,1.414,28,28,NaN,100,28,102,4,135.000,1.000,1.000,1.000,1.000
6,2,16.500,13.435,7,26,5.657,0.785,2.828,33,26,-2.000,100,33,153,6,45.000,1.414,2.646,0.378,0.667
7,1,13.000,0.000,13,13,2.828,1.000,1.414,13,13,NaN,100,13,269,5,135.000,1.000,1.000,1.000,1.000
8,1,23.000,0.000,23,23,2.828,1.000,1.414,23,23,NaN,100,23,341,5,135.000,1.000,1.000,1.000,1.000
9,1,11.000,0.000,11,11,2.828,1.000,1.414,11,11,NaN,100,11,613,5,135.000,1.000,1.000,1.000,1.000
10,1,16.000,0.000,16,16,2.828,1.000,1.414,16,16,NaN,100,16,347,7,135.000,1.000,1.000,1.000,1.000
11,1,26.000,0.000,26,26,2.828,1.000,1.414,26,26,NaN,100,26,349,7,135.000,1.000,1.000,1.000,1.000
12,1,26.000,0.000,26,26,2.828,1.000,1.414,26,26,NaN,100,26,609,7,135.000,1.000,1.000,1.000,1.000
13,6,13.000,6.899,3,20,13.314,0.425,5.099,78,17,-1.385,100,78,105,9,101.310,2.530,2.385,0.419,0.545
14,1,14.000,0.000,14,14,2.828,1.000,1.414,14,14,NaN,100,14,147,9,135.000,1.000,1.000,1.000,1.000
15,1,14.000,0.000,14,14,2.828,1.000,1.414,14,14,NaN,100,14,496,12,135.000,1.000,1.000,1.000,1.000
16,1,4.000,0.000,4,4,2.828,1.000,1.414,4,4,NaN,100,4,7,13,135.000,1.000,1.000,1.000,1.000
17,2,23.500,7.778,18,29,5.657,0.785,2.828,47,29,-2.000,100,47,492,15,45.000,1.414,2.646,0.378,0.667
18,1,6.000,0.000,6,6,2.828,1.000,1.414,6,6,NaN,100,6,244,16,135.000,1.000,1.000,1.000,1.000
19,1,26.000,0.000,26,26,2.828,1.000,1.414,26,26,NaN,100,26,83,17,135.000,1.000,1.000,1.000,1.000
20,7,24.714,2.812,22,29,16.971,0.305,7.211,173,24,-1.222,100,173,233,19,146.310,2.683,3.452,0.290,0.538
21,1,5.000,0.000,5,5,2.828,1.000,1.414,5,5,NaN,100,5,243,19,135.000,1.000,1.000,1.000,1.000
22,1,29.000,0.000,29,29,2.828,1.000,1.414,29,29,NaN,100,29,485,19,135.000,1.000,1.000,1.000,1.000
23,1,22.000,0.000,22,22,2.828,1.000,1.414,22,22,NaN,100,22,248,20,135.000,1.000,1.000,1.000,1.000
24,1,25.000,0.000,25,25,2.828,1.000,1.414,25,25,NaN,100,25,73,21,135.000,1.000,1.000,1.000,1.000
25,2,13.500,7.778,8,19,5.657,0.785,2.828,27,19,-2.000,100,27,241,24,45.000,1.414,2.646,0.378,0.667
26,1,5.000,0.000,5,5,2.828,1.000,1.414,5,5,NaN,100,5,370,22,135.000,1.000,1.000,1.000,1.000
27,1,22.000,0.000,22,22,2.828,1.000,1.414,22,22,NaN,100,22,77,27,135.000,1.000,1.000,1.000,1.000
28,2,18.500,9.192,12,25,5.657,0.785,2.828,37,25,-2.000,100,37,353,30,45.000,1.414,2.646,0.378,0.667
