 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6.0,112.333,11.343,91,121,11.314,0.589,4.472,674,118,0.182,100,674,304,5,63.435,2.828,1.633,0.612,0.667
2,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,585,25,135.000,1.000,1.000,1.000,1.000
3,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,NaN,100,124,96,30,135.000,1.000,1.000,1.000,1.000
4,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,100,125,540,46,135.000,1.000,1.000,1.000,1.000
5,3,118.667,3.786,116,123,8.485,0.524,4.243,356,117,-1.500,100,356,343,50,45.000,1.414,4.123,0.243,0.600
6,2,121.000,5.657,117,125,5.657,0.785,2.828,242,125,-2.000,100,242,316,54,135.000,1.414,2.646,0.378,0.667
7,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,308,62,135.000,1.000,1.000,1.000,1.000
8,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,NaN,100,121,306,64,135.000,1.000,1.000,1.000,1.000
9,39,112.872,7.658,97,126,26.627,0.691,8.944,4402,112,-0.519,100,4402,306,72,153.435,7.071,1.088,0.919,0.804
10,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,100,125,326,78,135.000,1.000,1.000,1.000,1.000
11,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,472,82,135.000,1.000,1.000,1.000,1.000
12,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,310,115,135.000,1.000,1.000,1.000,1.000
13,2,118.000,4.243,115,121,5.657,0.785,2.828,236,121,-2.000,100,236,330,125,45.000,1.414,2.646,0.378,0.667
14,3,120.333,6.429,113,125,5.657,1.000,2.828,361,123,-1.500,100,361,284,131,45.000,2.000,1.464,0.683,0.857
15,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,NaN,100,121,282,132,135.000,1.000,1.000,1.000,1.000
16,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,306,134,135.000,1.000,1.000,1.000,1.000
17,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,NaN,100,121,585,161,135.000,1.000,1.000,1.000,1.000
18,2,120.500,2.121,119,122,5.657,0.785,2.828,241,122,-2.000,100,241,596,172,135.000,1.414,2.646,0.378,0.667
19,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,NaN,100,124,623,173,135.000,1.000,1.000,1.000,1.000
20,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,100,125,531,175,135.000,1.000,1.000,1.000,1.000
21,4,121.000,3.916,116,125,11.314,0.393,4.472,484,123,-1.302,100,484,588,181,63.435,2.000,2.253,0.444,0.571
22,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,100,125,427,187,135.000,1.000,1.000,1.000,1.000
23,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,585,193,135.000,1.000,1.000,1.000,1.000
24,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,NaN,100,124,551,195,135.000,1.000,1.000,1.000,1.000
25,1,116.000,0.000,116,116,2.828,1.000,1.414,116,116,NaN,100,116,553,195,135.000,1.000,1.000,1.000,1.000
26,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,100,119,509,205,135.000,1.000,1.000,1.000,1.000
27,2,114.500,0.707,114,115,5.657,0.785,2.828,229,115,-2.000,100,229,361,208,45.000,1.414,2.646,0.378,0.667
28,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,344,210,135.000,1.000,1.000,1.000,1.000
29,2,115.000,1.414,114,116,5.657,0.785,2.828,230,116,-2.000,100,230,446,210,135.000,1.414,2.646,0.378,0.667
30,1,118.000,0.000,118,118,2.828,1.000,1.414,118,118,NaN,100,118,67,211,135.000,1.000,1.000,1.000,1.000
31,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,97,215,135.000,1.000,1.000,1.000,1.000
32,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,262,218,135.000,1.000,1.000,1.000,1.000
33,1,118.000,0.000,118,118,2.828,1.000,1.414,118,118,NaN,100,118,264,218,135.000,1.000,1.000,1.000,1.000
34,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,NaN,100,124,514,218,135.000,1.000,1.000,1.000,1.000
35,1,117.000,0.000,117,117,2.828,1.000,1.414,117,117,NaN,100,117,142,220,135.000,1.000,1.000,1.000,1.000
36,3,112.667,14.012,97,124,6.828,0.809,3.162,338,117,-1.500,100,338,405,229,108.435,1.000,3.000,0.333,1.000
37,8,110.125,13.378,88,123,10.485,0.914,5.000,881,117,-1.091,100,881,271,236,36.870,2.683,2.179,0.459,0.800
38,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,397,235,135.000,1.000,1.000,1.000,1.000
39,14,88.357,18.915,54,110,14.728,0.811,5.831,1237,91,-1.062,100,1237,441,237,120.964,4.160,1.555,0.643,0.778
40,75,84.160,22.630,41,126,33.556,0.837,13.038,6312,82,-0.923,100,6312,498,237,147.529,8.000,1.647,0.607,0.893
41,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,100,125,66,238,135.000,1.000,1.000,1.000,1.000
42,2,123.500,3.536,121,126,4.243,1.000,2.236,247,126,-2.000,100,247,69,238,153.435,1.000,2.000,0.500,1.000
43,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,72,238,135.000,1.000,1.000,1.000,1.000
44,1,111.000,0.000,111,111,2.828,1.000,1.414,111,111,NaN,100,111,522,238,135.000,1.000,1.000,1.000,1.000
45,2,119.000,8.485,113,125,5.657,0.785,2.828,238,125,-2.000,100,238,190,243,45.000,1.414,2.646,0.378,0.667
46,13,110.769,10.361,90,125,13.899,0.846,6.325,1440,109,-0.520,100,1440,292,255,18.435,3.000,1.865,0.536,0.867
47,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,100,122,394,252,135.000,1.000,1.000,1.000,1.000
48,1,121.000,0.000,121,121,2.828,1.000,1.414,121,121,NaN,100,121,250,254,135.000,1.000,1.000,1.000,1.000
49,6,114.000,15.113,91,126,9.899,0.769,4.472,684,122,-1.264,100,684,486,259,26.565,2.846,1.584,0.631,0.667
50,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,114,260,135.000,1.000,1.000,1.000,1.000
51,3,120.333,8.145,111,126,8.485,0.524,4.243,361,124,-1.500,100,361,84,275,45.000,1.414,4.123,0.243,0.600
52,23,116.217,5.736,104,125,26.627,0.408,8.602,2673,116,-0.580,100,2673,459,275,144.462,6.008,1.391,0.719,0.630
53,52,111.558,10.478,81,126,39.113,0.427,12.369,5801,112,0.724,100,5801,13,279,14.036,9.000,1.121,0.892,0.650
54,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,26,276,135.000,1.000,1.000,1.000,1.000
55,1,119.000,0.000,119,119,2.828,1.000,1.414,119,119,NaN,100,119,24,280,135.000,1.000,1.000,1.000,1.000
56,2,117.500,9.192,111,124,5.657,0.785,2.828,235,124,-2.000,100,235,456,293,45.000,1.414,2.646,0.378,0.667
57,12,104.917,11.882,83,123,13.314,0.851,5.099,1259,110,-0.758,100,1259,81,307,101.310,4.000,1.186,0.843,0.800
58,6,114.000,7.211,106,123,9.657,0.809,4.472,684,113,-1.477,100,684,18,328,116.565,2.000,2.082,0.480,0.857
59,6,117.833,14.303,89,126,11.314,0.589,4.472,707,125,1.022,100,707,102,330,116.565,2.683,1.864,0.537,0.632
60,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,501,335,135.000,1.000,1.000,1.000,1.000
61,1,126.000,0.000,126,126,2.828,1.000,1.414,126,126,NaN,100,126,211,343,135.000,1.000,1.000,1.000,1.000
62,1,125.000,0.000,125,125,2.828,1.000,1.414,125,125,NaN,100,125,0,344,135.000,1.000,1.000,1.000,1.000
63,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,320,348,135.000,1.000,1.000,1.000,1.000
64,10,122.800,2.700,120,126,14.728,0.579,5.657,1228,123,-1.737,100,1228,513,352,45.000,3.795,1.414,0.707,0.714
65,1,124.000,0.000,124,124,2.828,1.000,1.414,124,124,NaN,100,124,100,352,135.000,1.000,1.000,1.000,1.000
66,3,113.333,9.238,108,124,8.485,0.524,3.162,340,108,-1.500,100,340,320,360,161.565,2.000,1.567,0.638,0.600
67,2,121.000,4.243,118,124,4.243,1.000,2.236,242,124,-2.000,100,242,363,367,153.435,1.000,2.000,0.500,1.000
68,1,120.000,0.000,120,120,2.828,1.000,1.414,120,120,NaN,100,120,458,378,135.000,1.000,1.000,1.000,1.000
69,4,118.250,11.587,101,126,8.485,0.698,3.606,473,123,-0.702,100,473,468,387,56.310,2.000,1.637,0.611,0.727
70,2,117.500,9.192,111,124,5.657,0.785,2.828,235,124,-2.000,100,235,151,400,45.000,1.414,2.646,0.378,0.667
71,15,91.200,20.334,57,122,13.314,1.000,5.831,1368,94,-0.999,100,1368,166,411,30.964,4.000,1.392,0.718,0.882
72,30,95.167,18.775,52,123,20.142,0.929,8.062,2855,95,-0.580,100,2855,90,420,29.745,6.000,1.305,0.766,0.882
73,1,115.000,0.000,115,115,2.828,1.000,1.414,115,115,NaN,100,115,452,422,135.000,1.000,1.000,1.000,1.000
74,3,119.333,9.866,108,126,5.657,1.000,2.828,358,124,-1.500,100,358,155,444,45.000,2.000,1.464,0.683,0.857
75,1,123.000,0.000,123,123,2.828,1.000,1.414,123,123,NaN,100,123,510,452,135.000,1.000,1.000,1.000,1.000
76,3,123.000,1.732,122,125,8.485,0.524,4.243,369,122,-1.500,100,369,170,459,45.000,1.414,4.123,0.243,0.600
77,2,124.000,1.414,123,125,5.657,0.785,2.828,248,125,-2.000,100,248,34,459,45.000,1.414,2.646,0.378,0.667
78,1,115.000,0.000,115,115,2.828,1.000,1.414,115,115,NaN,100,115,38,458,135.000,1.000,1.000,1.000,1.000
79,6,111.500,13.517,97,126,11.314,0.589,5.657,669,121,-1.896,100,669,15,478,45.000,2.121,3.292,0.304,0.667
80,2,119.500,2.121,118,121,5.657,0.785,2.828,239,121,-2.000,100,239,21,480,45.000,1.414,2.646,0.378,0.667
81,1,122.000,0.000,122,122,2.828,1.000,1.414,122,122,NaN,100,122,495,479,135.000,1.000,1.000,1.000,1.000
