 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,61.0,176.672,8.039,165,204,41.113,0.454,15.524,10777,176,0.918,100,10777,57,4,14.931,8.000,2.167,0.461,0.731
2,15,193.200,16.984,168,220,16.728,0.674,6.403,2898,194,-1.074,100,2898,517,0,141.340,4.000,1.290,0.775,0.811
3,1,165.000,0.000,165,165,2.828,1.000,1.414,165,165,NaN,100,165,525,1,135.000,1.000,1.000,1.000,1.000
4,10,173.100,5.087,166,180,18.971,0.349,7.211,1731,174,-1.568,100,1731,38,2,123.690,3.578,2.142,0.467,0.588
5,6,174.833,10.458,169,196,9.071,0.916,4.243,1049,171,1.077,100,1049,484,2,135.000,2.828,1.593,0.628,0.857
6,1,169.000,0.000,169,169,2.828,1.000,1.414,169,169,NaN,100,169,36,4,135.000,1.000,1.000,1.000,1.000
7,44,186.205,13.946,165,221,28.971,0.659,10.770,8193,184,-0.192,100,8193,84,13,21.801,6.000,1.743,0.574,0.854
8,6,179.667,10.614,169,198,8.485,1.000,3.606,1078,181,-0.451,100,1078,111,12,33.690,2.828,1.291,0.775,0.800
9,2,171.500,3.536,169,174,4.243,1.000,2.236,343,174,-2.000,100,343,101,11,153.435,1.000,2.000,0.500,1.000
10,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,78,12,135.000,1.000,1.000,1.000,1.000
11,6,180.833,5.345,171,186,8.485,1.000,3.606,1085,182,0.049,100,1085,74,18,123.690,2.828,1.291,0.775,0.800
12,1,170.000,0.000,170,170,2.828,1.000,1.414,170,170,NaN,100,170,403,19,135.000,1.000,1.000,1.000,1.000
13,12,175.750,8.001,166,191,15.899,0.597,6.708,2109,175,-0.346,100,2109,86,25,26.565,4.000,1.800,0.555,0.667
14,16,178.688,10.196,165,198,17.314,0.671,7.280,2859,176,-0.909,100,2859,77,22,164.055,4.000,1.829,0.547,0.800
15,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,0,29,135.000,1.000,1.000,1.000,1.000
16,3,172.333,7.767,166,181,5.657,1.000,2.828,517,170,-1.500,100,517,65,29,135.000,2.000,1.464,0.683,0.857
17,5,169.800,4.604,165,177,9.899,0.641,4.472,849,169,-0.718,100,849,73,29,153.435,2.530,2.126,0.470,0.625
18,2,170.500,2.121,169,172,5.657,0.785,2.828,341,172,-2.000,100,341,342,36,135.000,1.414,2.646,0.378,0.667
19,31,179.774,9.276,165,197,24.728,0.637,9.487,5573,180,-0.969,100,5573,0,37,108.435,5.000,1.792,0.558,0.838
20,3,171.333,1.528,170,173,8.485,0.524,4.243,514,171,-1.500,100,514,68,40,135.000,1.414,4.123,0.243,0.600
21,1,165.000,0.000,165,165,2.828,1.000,1.414,165,165,NaN,100,165,388,40,135.000,1.000,1.000,1.000,1.000
22,1,177.000,0.000,177,177,2.828,1.000,1.414,177,177,NaN,100,177,135,41,135.000,1.000,1.000,1.000,1.000
23,5,180.200,6.943,170,186,7.657,1.000,3.606,901,184,-1.250,100,901,467,47,146.310,2.000,1.553,0.644,0.909
24,3,173.333,3.786,169,176,6.243,0.967,3.162,520,175,-1.500,100,520,163,49,161.565,1.000,3.000,0.333,1.000
25,1,166.000,0.000,166,166,2.828,1.000,1.414,166,166,NaN,100,166,168,50,135.000,1.000,1.000,1.000,1.000
26,3,167.000,2.000,165,169,6.243,0.967,3.162,501,167,-1.500,100,501,4,52,161.565,1.000,3.000,0.333,1.000
27,6,170.000,4.290,165,177,14.142,0.377,7.071,1020,171,-0.774,100,1020,158,52,135.000,2.121,4.801,0.208,0.545
28,2,176.500,3.536,174,179,5.657,0.785,2.828,353,179,-2.000,100,353,328,52,135.000,1.414,2.646,0.378,0.667
29,1,176.000,0.000,176,176,2.828,1.000,1.414,176,176,NaN,100,176,313,53,135.000,1.000,1.000,1.000,1.000
30,19,177.842,11.866,165,210,21.314,0.526,8.944,3379,175,0.723,100,3379,19,55,116.565,4.438,2.480,0.403,0.717
31,15,171.800,6.109,165,187,17.556,0.612,6.325,2577,171,0.559,100,2577,1,62,71.565,4.000,1.389,0.720,0.750
32,14,183.357,12.713,168,211,14.728,0.811,5.831,2567,186,-0.433,100,2567,346,58,149.036,4.000,1.324,0.755,0.824
33,7,180.143,7.515,169,192,9.899,0.898,4.472,1261,178,-0.763,100,1261,161,58,153.435,3.000,1.527,0.655,0.737
34,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,14,60,135.000,1.000,1.000,1.000,1.000
35,1,170.000,0.000,170,170,2.828,1.000,1.414,170,170,NaN,100,170,543,63,135.000,1.000,1.000,1.000,1.000
36,2,171.500,2.121,170,173,5.657,0.785,2.828,343,173,-2.000,100,343,545,65,135.000,1.414,2.646,0.378,0.667
37,3,169.000,3.606,166,173,5.657,1.000,2.828,507,168,-1.500,100,507,106,66,135.000,2.000,1.464,0.683,0.857
38,4,169.250,3.500,165,173,11.314,0.393,4.243,677,171,-1.413,100,677,534,66,135.000,2.828,1.537,0.650,0.571
39,6,170.667,3.077,168,176,9.071,0.916,4.472,1024,171,-0.533,100,1024,117,67,153.435,2.000,2.082,0.480,0.857
40,3,171.333,4.933,168,177,6.243,0.967,3.162,514,169,-1.500,100,514,427,67,161.565,1.000,3.000,0.333,1.000
41,1,176.000,0.000,176,176,2.828,1.000,1.414,176,176,NaN,100,176,12,72,135.000,1.000,1.000,1.000,1.000
42,3,173.000,5.196,167,176,5.657,1.000,2.828,519,176,-1.500,100,519,106,72,135.000,2.000,1.464,0.683,0.857
43,46,180.870,12.092,165,215,31.456,0.584,14.142,8320,177,1.006,100,8320,568,72,135.000,5.657,2.696,0.371,0.800
44,3,169.000,2.646,166,171,6.828,0.809,3.162,507,170,-1.500,100,507,15,73,108.435,1.000,3.000,0.333,1.000
45,1,171.000,0.000,171,171,2.828,1.000,1.414,171,171,NaN,100,171,579,73,135.000,1.000,1.000,1.000,1.000
46,2,173.000,4.243,170,176,4.243,1.000,2.236,346,176,-2.000,100,346,435,74,153.435,1.000,2.000,0.500,1.000
47,7,174.286,4.855,167,179,11.314,0.687,4.472,1220,177,-1.471,100,1220,119,78,26.565,3.000,1.687,0.593,0.700
48,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,590,76,135.000,1.000,1.000,1.000,1.000
49,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,576,84,135.000,1.000,1.000,1.000,1.000
50,1,169.000,0.000,169,169,2.828,1.000,1.414,169,169,NaN,100,169,635,85,135.000,1.000,1.000,1.000,1.000
51,15,181.800,12.542,166,207,17.556,0.612,7.616,2727,184,-0.852,100,2727,578,88,156.801,4.000,1.904,0.525,0.714
52,8,186.250,11.622,168,202,10.485,0.914,4.472,1490,187,-1.051,100,1490,178,90,153.435,3.000,1.435,0.697,0.842
53,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,427,99,135.000,1.000,1.000,1.000,1.000
54,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,8,104,135.000,1.000,1.000,1.000,1.000
55,171,187.345,11.611,165,218,63.012,0.541,26.627,32036,188,-0.271,100,32036,546,105,124.287,10.804,2.899,0.345,0.799
56,3,171.667,4.041,168,176,8.485,0.524,3.162,515,171,-1.500,100,515,304,106,108.435,2.000,1.567,0.638,0.600
57,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,536,106,135.000,1.000,1.000,1.000,1.000
58,2,170.000,7.071,165,175,4.828,1.000,2.236,340,175,-2.000,100,340,98,109,116.565,1.000,2.000,0.500,1.000
59,6,175.000,8.672,166,186,11.314,0.589,4.472,1050,174,-1.498,100,1050,574,110,153.435,2.000,2.257,0.443,0.750
60,4,170.250,2.630,168,174,7.071,1.000,3.162,681,170,-0.902,100,681,103,113,161.565,2.000,1.468,0.681,0.800
61,1,170.000,0.000,170,170,2.828,1.000,1.414,170,170,NaN,100,170,535,115,135.000,1.000,1.000,1.000,1.000
62,1,166.000,0.000,166,166,2.828,1.000,1.414,166,166,NaN,100,166,535,117,135.000,1.000,1.000,1.000,1.000
63,19,183.000,12.901,165,208,17.556,0.775,7.616,3477,185,-0.986,100,3477,538,118,156.801,4.025,2.188,0.457,0.776
64,16,182.000,13.382,165,204,16.971,0.698,7.810,2912,180,-1.472,100,2912,584,117,129.806,3.536,2.794,0.358,0.744
65,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,591,121,135.000,1.000,1.000,1.000,1.000
66,5,173.200,9.783,165,187,11.314,0.491,4.472,866,168,-1.419,100,866,107,123,116.565,2.683,2.024,0.494,0.588
67,6,172.000,5.477,166,179,11.314,0.589,4.472,1032,172,-1.498,100,1032,122,124,116.565,2.828,1.633,0.612,0.667
68,16,174.562,7.840,165,187,15.314,0.857,5.831,2793,172,-1.461,100,2793,56,126,120.964,4.000,1.374,0.728,0.842
69,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,232,126,135.000,1.000,1.000,1.000,1.000
70,1,166.000,0.000,166,166,2.828,1.000,1.414,166,166,NaN,100,166,546,128,135.000,1.000,1.000,1.000,1.000
71,1,166.000,0.000,166,166,2.828,1.000,1.414,166,166,NaN,100,166,53,129,135.000,1.000,1.000,1.000,1.000
72,1,171.000,0.000,171,171,2.828,1.000,1.414,171,171,NaN,100,171,111,129,135.000,1.000,1.000,1.000,1.000
73,2,171.500,7.778,166,177,4.243,1.000,2.236,343,177,-2.000,100,343,531,129,153.435,1.000,2.000,0.500,1.000
74,9,179.889,12.313,165,200,11.314,0.884,4.472,1619,175,-0.804,100,1619,181,131,116.565,3.536,1.390,0.720,0.750
75,1,165.000,0.000,165,165,2.828,1.000,1.414,165,165,NaN,100,165,2,132,135.000,1.000,1.000,1.000,1.000
76,1,178.000,0.000,178,178,2.828,1.000,1.414,178,178,NaN,100,178,56,132,135.000,1.000,1.000,1.000,1.000
77,2,174.000,2.828,172,176,5.657,0.785,2.828,348,176,-2.000,100,348,118,134,135.000,1.414,2.646,0.378,0.667
78,21,185.857,12.088,166,211,19.314,0.707,8.944,3903,187,-0.535,100,3903,171,134,116.565,4.000,2.409,0.415,0.857
79,1,169.000,0.000,169,169,2.828,1.000,1.414,169,169,NaN,100,169,3,136,135.000,1.000,1.000,1.000,1.000
80,4,170.750,8.342,165,183,11.314,0.393,4.472,683,169,-0.785,100,683,4,143,26.565,2.530,2.179,0.459,0.500
81,1,170.000,0.000,170,170,2.828,1.000,1.414,170,170,NaN,100,170,166,142,135.000,1.000,1.000,1.000,1.000
82,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,122,144,135.000,1.000,1.000,1.000,1.000
83,9,184.889,10.624,170,197,11.314,0.884,5.000,1664,185,-1.363,100,1664,528,144,126.870,2.828,1.915,0.522,0.783
84,68,183.618,14.491,165,215,38.527,0.576,14.142,12486,180,-0.727,100,12486,584,144,171.870,9.000,1.372,0.729,0.786
85,1,169.000,0.000,169,169,2.828,1.000,1.414,169,169,NaN,100,169,363,145,135.000,1.000,1.000,1.000,1.000
86,8,176.125,6.578,166,188,10.485,0.914,5.000,1409,177,-0.273,100,1409,534,149,36.870,2.846,1.989,0.503,0.800
87,2,180.000,5.657,176,184,4.828,1.000,2.236,360,184,-2.000,100,360,374,148,116.565,1.000,2.000,0.500,1.000
88,26,184.731,12.963,166,208,23.213,0.606,10.000,4803,187,-1.374,100,4803,479,151,143.130,4.950,2.556,0.391,0.743
89,5,172.000,4.301,168,177,14.142,0.314,5.657,860,171,-1.727,100,860,368,152,135.000,2.828,2.366,0.423,0.500
90,43,175.698,7.741,165,195,25.799,0.812,11.402,7555.000,173,-0.182,100,7555.000,69,155,127.875,6.261,2.116,0.473,0.827
91,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,373,155,135.000,1.000,1.000,1.000,1.000
92,2,169.500,3.536,167,172,5.657,0.785,2.828,339,172,-2.000,100,339,538,159,45.000,1.414,2.646,0.378,0.667
93,2,177.000,0.000,177,177,5.657,0.785,2.828,354,177,NaN,100,354,56,160,135.000,1.414,2.646,0.378,0.667
94,60,192.633,18.061,165,228,36.627,0.562,14.560,11558,196,-1.262,100,11558,428,175,74.055,6.000,2.724,0.367,0.811
95,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,591,161,135.000,1.000,1.000,1.000,1.000
96,1,179.000,0.000,179,179,2.828,1.000,1.414,179,179,NaN,100,179,545,163,135.000,1.000,1.000,1.000,1.000
97,4,172.500,4.796,167,177,7.657,0.857,3.162,690,176,-1.728,100,690,66,164,108.435,2.000,1.468,0.681,0.800
98,1,178.000,0.000,178,178,2.828,1.000,1.414,178,178,NaN,100,178,424,164,135.000,1.000,1.000,1.000,1.000
99,5,172.000,4.359,167,177,11.314,0.491,4.472,860,173,-1.625,100,860,155,165,153.435,2.000,2.136,0.468,0.667
100,13,179.538,6.411,170,192,14.142,0.817,5.831,2334,179,-0.042,100,2334,466,166,120.964,3.536,1.805,0.554,0.765
101,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,167,167,135.000,1.000,1.000,1.000,1.000
102,1,168.000,0.000,168,168,2.828,1.000,1.414,168,168,NaN,100,168,423,167,135.000,1.000,1.000,1.000,1.000
103,3,173.333,4.933,170,179,6.243,0.967,3.162,520,171,-1.500,100,520,25,168,161.565,1.000,3.000,0.333,1.000
104,1,167.000,0.000,167,167,2.828,1.000,1.414,167,167,NaN,100,167,67,169,135.000,1.000,1.000,1.000,1.000
105,33,185.242,13.358,165,211,23.799,0.732,9.434,6113,182,-0.721,100,6113,163,169,122.005,7.000,1.483,0.674,0.786
106,1,166.000,0.000,166,166,2.828,1.000,1.414,166,166,NaN,100,166,349,169,135.000,1.000,1.000,1.000,1.000
107,5,171.800,4.324,167,178,8.485,0.873,3.606,859,171,-1.129,100,859,542,169,123.690,2.828,1.289,0.776,0.667
