 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.0,156.500,9.192,150,163,5.657,0.785,2.828,313.000,163,-2.000,100,313.000,315,2,45.000,1.414,2.646,0.378,0.667
2,1,144.000,0.000,144,144,2.828,1.000,1.414,144.000,144,NaN,100,144.000,259,1,135.000,1.000,1.000,1.000,1.000
3,1,144.000,0.000,144,144,2.828,1.000,1.414,144.000,144,NaN,100,144.000,169,2,135.000,1.000,1.000,1.000,1.000
4,1,147.000,0.000,147,147,2.828,1.000,1.414,147.000,147,NaN,100,147.000,178,4,135.000,1.000,1.000,1.000,1.000
5,7,159.571,13.551,145,179,9.071,1.000,3.606,1117.000,157,-1.231,100,1117.000,174,5,123.690,3.000,1.069,0.936,0.875
6,55,158.509,13.712,144,199,40.284,0.426,11.705,8718.000,152,0.717,100,8718.000,333,17,70.017,9.000,1.037,0.964,0.738
7,5,151.800,6.380,145,162,8.485,0.873,3.162,759.000,150,-0.541,100,759.000,283,7,108.435,2.828,1.000,1.000,0.714
8,18,150.722,6.295,144,167,19.556,0.591,7.280,2713.000,150,0.804,100,2713.000,363,12,164.055,4.427,1.747,0.572,0.706
9,1,149.000,0.000,149,149,2.828,1.000,1.414,149.000,149,NaN,100,149.000,159,13,135.000,1.000,1.000,1.000,1.000
10,123,166.195,13.747,144,202,44.527,0.780,17.000,20442.000,168,-0.696,100,20442.000,163,28,61.928,10.932,1.649,0.607,0.851
11,7,163.143,8.668,152,175,10.485,0.800,4.472,1142.000,165,-1.287,100,1142.000,477,13,116.565,2.828,1.668,0.600,0.778
12,22,178.909,19.664,145,212,16.971,0.960,6.708,3936.000,180,-0.877,100,3936.000,457,14,116.565,4.950,1.397,0.716,0.830
13,2,146.000,0.000,146,146,5.657,0.785,2.828,292.000,146,NaN,100,292.000,158,17,45.000,1.414,2.646,0.378,0.667
14,1,147.000,0.000,147,147,2.828,1.000,1.414,147.000,147,NaN,100,147.000,162,16,135.000,1.000,1.000,1.000,1.000
15,1,144.000,0.000,144,144,2.828,1.000,1.414,144.000,144,NaN,100,144.000,312,17,135.000,1.000,1.000,1.000,1.000
16,9,150.444,6.146,144,162,12.728,0.698,5.831,1354.000,150,-0.648,100,1354.000,375,17,149.036,3.051,2.335,0.428,0.667
17,15,169.667,17.995,145,206,14.142,0.942,6.403,2545.000,171,-0.746,100,2545.000,324,18,128.660,3.536,1.914,0.522,0.833
