 ,Area,Mean,StdDev,Min,Max,Perim.,Circ.,Feret,IntDen,Median,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,49.0,57.020,28.749,4,107,25.213,0.969,9.487,2794.000,60,-0.970,100,2794.000,129,21,161.565,7.778,1.133,0.882,0.891
2,119,46.092,29.367,3,111,42.284,0.836,15.232,5485.000,41,-0.703,100,5485.000,350,22,156.801,11.535,1.357,0.737,0.869
3,230,39.626,24.396,3,109,63.598,0.715,23.324,9114.000,34,0.621,100,9114.000,576,51,59.036,15.652,1.448,0.691,0.868
4,360,36.006,24.087,3,112,73.012,0.849,27.731,12962.000,30,1.558,100,12962.000,194,47,115.641,19.612,1.439,0.695,0.935
5,1055,27.955,20.948,0,112,144.267,0.637,46.098,29493.000,22,4.978,100,29493.000,316,102,65.659,34.776,1.350,0.741,0.859
6,1431,23.752,20.935,0,112,192.066,0.487,57.009,33989.000,18,5.638,100,33989.000,177,81,127.875,40.435,1.577,0.634,0.809
7,891,26.966,21.454,1,112,127.196,0.692,43.267,24027.000,22,5.321,100,24027.000,237,87,146.310,31.562,1.534,0.652,0.891
8,752,28.261,24.496,0,112,134.125,0.525,51.884,21252.000,20,2.856,100,21252.000,250,134,152.447,23.140,2.640,0.379,0.813
9,36,55.111,31.734,6,108,22.728,0.876,9.487,1984.000,50,-1.225,100,1984.000,107,148,71.565,5.000,1.687,0.593,0.923
10,12,71.500,18.584,51,108,13.899,0.781,6.403,858.000,72,-0.156,100,858.000,635,141,141.340,3.536,1.984,0.504,0.828
11,78,45.321,28.868,3,110,43.213,0.525,17.029,3535.000,38,-0.251,100,3535.000,639,146,93.366,9.000,1.575,0.635,0.780
12,11,72.545,27.674,38,112,14.142,0.691,5.831,798.000,75,-1.379,100,798.000,64,171,30.964,2.828,2.251,0.444,0.733
13,304,36.556,26.359,1,112,76.426,0.654,28.792,11113.000,31,0.166,100,11113.000,586,175,159.677,17.170,1.780,0.562,0.843
14,518,30.620,22.543,1,108,97.054,0.691,31.780,15861.000,24,2.648,100,15861.000,252,213,24.146,24.129,1.279,0.782,0.888
15,77,46.078,28.094,5,108,37.213,0.699,14.765,3548.000,40,-0.325,100,3548.000,427,197,151.699,7.920,1.819,0.550,0.837
16,91,48.385,28.942,3,103,37.456,0.815,15.000,4403.000,46,-1.061,100,4403.000,300,201,143.130,9.899,1.556,0.643,0.871
17,20,55.750,25.831,15,100,19.556,0.657,8.246,1115.000,62,-1.227,100,1115.000,83,211,165.964,4.427,2.067,0.484,0.741
18,1137,23.191,17.886,0,112,139.539,0.734,53.759,26368.000,19,8.455,100,26368.000,155,239,170.362,29.696,1.788,0.559,0.940
