index, area, mean, min, max
1,32,255,255,255
2,35,255,255,255
3,30,255,255,255
4,30,255,255,255
5,30,255,255,255
6,23,255,255,255
7,27,255,255,255
8,20,255,255,255
9,22,255,255,255
10,18,255,255,255
11,14,255,255,255
12,13,255,255,255
13,8,255,255,255
14,10,255,255,255
15,12,255,255,255
16,5,255,255,255
17,5,255,255,255
18,3,255,255,255
19,2,255,255,255
20,35,255,255,255
21,47,255,255,255
22,37,255,255,255
23,34,255,255,255
24,48,255,255,255
25,45,255,255,255
26,37,255,255,255
27,49,255,255,255
28,52,255,255,255
29,42,255,255,255
30,37,255,255,255
31,48,255,255,255
32,31,255,255,255
33,47,255,255,255
34,51,255,255,255
35,48,255,255,255
36,50,255,255,255
37,51,255,255,255
38,52,255,255,255
39,35,255,255,255
40,37,255,255,255
41,58,255,255,255
42,53,255,255,255
43,36,255,255,255
44,50,255,255,255
45,34,255,255,255
46,46,255,255,255
47,57,255,255,255
48,41,255,255,255
49,49,255,255,255
50,47,255,255,255
51,41,255,255,255
52,50,255,255,255
53,53,255,255,255
54,34,255,255,255
55,47,255,255,255
56,34,255,255,255
57,48,255,255,255
58,35,255,255,255
59,49,255,255,255
60,52,255,255,255
61,48,255,255,255
62,40,255,255,255
63,51,255,255,255
64,34,255,255,255
65,40,255,255,255
66,52,255,255,255
67,40,255,255,255
68,38,255,255,255
69,48,255,255,255
70,39,255,255,255
71,48,255,255,255
72,57,255,255,255
73,51,255,255,255
74,51,255,255,255
75,41,255,255,255
76,48,255,255,255
77,45,255,255,255
78,37,255,255,255
79,35,255,255,255
80,35,255,255,255
81,24,255,255,255
82,30,255,255,255
83,25,255,255,255
84,33,255,255,255
85,27,255,255,255
86,36,255,255,255
87,27,255,255,255
88,34,255,255,255
89,28,255,255,255
90,36,255,255,255
91,44,255,255,255
92,38,255,255,255
93,28,255,255,255
94,40,255,255,255
95,28,255,255,255
96,37,255,255,255
97,27,255,255,255
98,40,255,255,255
99,28,255,255,255
100,43,255,255,255
101,31,255,255,255
102,35,255,255,255
103,37,255,255,255
104,26,255,255,255
105,41,255,255,255
106,32,255,255,255
107,53,255,255,255
108,35,255,255,255
109,48,255,255,255
110,39,255,255,255
111,53,255,255,255
112,40,255,255,255
113,42,255,255,255
114,48,255,255,255
115,34,255,255,255
116,45,255,255,255
117,43,255,255,255
118,48,255,255,255
119,52,255,255,255
120,36,255,255,255
121,45,255,255,255
122,34,255,255,255
123,51,255,255,255
124,37,255,255,255
125,49,255,255,255
126,36,255,255,255
127,48,255,255,255
128,43,255,255,255
129,48,255,255,255
130,38,255,255,255
131,50,255,255,255
132,57,255,255,255
133,38,255,255,255
134,42,255,255,255
135,51,255,255,255
136,35,255,255,255
137,29,255,255,255
138,35,255,255,255
139,35,255,255,255
140,23,255,255,255
141,35,255,255,255
142,42,255,255,255
143,28,255,255,255
144,42,255,255,255
145,23,255,255,255
146,36,255,255,255
147,22,255,255,255
148,42,255,255,255
149,38,255,255,255
150,38,255,255,255
151,25,255,255,255
152,35,255,255,255
153,36,255,255,255
154,37,255,255,255
155,29,255,255,255
156,29,255,255,255
157,40,255,255,255
158,32,255,255,255
159,43,255,255,255
160,28,255,255,255
161,38,255,255,255
162,24,255,255,255
163,40,255,255,255
164,29,255,255,255
165,47,255,255,255
166,50,255,255,255
