micros,adc0,adc1
110000000,5.0000000000,0.0000000000
120000000,5.0000000000,0.4203323364
130000000,5.0000000000,0.9579667091
140000000,5.0000000000,1.5493645668
150000000,5.0000000000,2.0674486160
160000000,5.0000000000,2.5953078269
170000000,4.9951124191,3.1182794570
180000000,5.0000000000,3.6852395534
190000000,5.0000000000,4.2228736877
200000000,5.0000000000,4.8044967651
210000000,5.0000000000,5.0000000000
220000000,5.0000000000,4.8191595077
230000000,5.0000000000,4.2961878776
240000000,5.0000000000,3.7536656856
250000000,5.0000000000,3.2160313129
260000000,5.0000000000,2.6979472637
270000000,5.0000000000,2.0527858734
280000000,5.0000000000,1.5200390815
300000000,5.0000000000,1.0410556793
310000000,5.0000000000,0.3958944320
320000000,5.0000000000,0.0000000000
