micros,adc0,adc1
20000000,5.0000000000,0.0000000000
30000000,5.0000000000,0.0000000000
40000000,2.0478982925,0.1564027309
50000000,5.0000000000,0.1612903118
60000000,5.0000000000,0.6011730194
70000000,5.0000000000,1.2072336673
80000000,5.0000000000,1.6177907943
90000000,5.0000000000,2.2434017658
100000000,5.0000000000,2.7077224254
110000000,5.0000000000,3.2942326068
120000000,5.0000000000,3.8025415420
130000000,5.0000000000,4.3401761054
140000000,5.0000000000,4.9413490295
150000000,5.0000000000,5.0000000000
