X_Value,Voltage
0,0.002847
0.0005,0.002843
0.001,0.002869
0.0015,0.002882
0.002,0.002941
0.0025,0.002956
0.003,0.002919
0.0035,0.00292
0.004,0.002942
0.0045,0.002996
0.005,0.002991
0.0055,0.003022
0.006,0.003025
0.0065,0.002998
0.007,0.003002
0.0075,0.002912
0.008,0.002964
0.0085,0.002938
0.009,0.002897
0.0095,0.002876
0.01,0.00295
0.0105,0.002906
0.011,0.002889
0.0115,0.00286
0.012,0.00285
0.0125,0.002852
0.013,0.002809
0.0135,0.002875
0.014,0.002828
0.0145,0.002823
0.015,0.002803
0.0155,0.002783
0.016,0.002794
0.0165,0.002747
0.017,0.002764
0.0175,0.002738
0.018,0.002678
0.0185,0.002618
0.019,0.002679
0.0195,0.002647
0.02,0.002555
0.0205,0.00257
0.021,0.002599
0.0215,0.002529
0.022,0.002516
0.0225,0.002473
0.023,0.002463
0.0235,0.002367
0.024,0.002337
0.0245,0.002313
0.025,0.002289
0.0255,0.002321
0.026,0.002265
0.0265,0.002224
0.027,0.002127
0.0275,0.002116
0.028,0.002086
0.0285,0.002019
0.029,0.001953
0.0295,0.001927
0.03,0.001906
0.0305,0.001847
0.031,0.001774
0.0315,0.001755
0.032,0.001668
0.0325,0.001608
0.033,0.001594
0.0335,0.001591
0.034,0.001556
0.0345,0.001527
0.035,0.001453
0.0355,0.001417
0.036,0.001344
0.0365,0.001406
0.037,0.001344
0.0375,0.001276
0.038,0.001236
0.0385,0.001208
0.039,0.001114
0.0395,0.001098
0.04,0.001003
0.0405,0.000957
0.041,0.000989
0.0415,0.000912
0.042,0.000863
0.0425,0.00083
0.043,0.000755
0.0435,0.00072
0.044,0.000684
0.0445,0.00066
0.045,0.000625
0.0455,0.000574
0.046,0.000573
0.0465,0.000447
0.047,0.000397
0.0475,0.000337
0.048,0.000329
0.0485,0.000301
0.049,0.000226
0.0495,0.000207
0.05,0.000199
0.0505,0.000108
0.051,1.73E-05
0.0515,5.17E-05
0.052,2.06E-05
0.0525,1.02E-05
0.053,-2.23E-05
0.0535,-5.79E-05
0.054,-9.75E-05
0.0545,-0.000153
0.055,-0.000156
0.0555,-0.000186
0.056,-0.000266
0.0565,-0.000229
0.057,-0.000234
0.0575,-0.000333
0.058,-0.000285
0.0585,-0.000349
0.059,-0.000389
0.0595,-0.000359
0.06,-0.000434
0.0605,-0.000419
0.061,-0.00045
0.0615,-0.000447
0.062,-0.000447
0.0625,-0.000449
0.063,-0.000486
0.0635,-0.000533
0.064,-0.000482
0.0645,-0.000485
0.065,-0.000532
0.0655,-0.000541
0.066,-0.000512
0.0665,-0.000546
0.067,-0.000543
0.0675,-0.000504
0.068,-0.000581
0.0685,-0.000548
0.069,-0.000591
0.0695,-0.000554
0.07,-0.000629
0.0705,-0.000631
0.071,-0.000668
0.0715,-0.000613
0.072,-0.00058
0.0725,-0.000567
0.073,-0.000563
0.0735,-0.000557
0.074,-0.000538
0.0745,-0.00053
0.075,-0.000504
0.0755,-0.00047
0.076,-0.00045
0.0765,-0.0004
0.077,-0.000355
0.0775,-0.000343
0.078,-0.000377
0.0785,-0.000359
0.079,-0.000333
0.0795,-0.000292
0.08,-0.000256
0.0805,-0.00024
0.081,-0.000264
0.0815,-0.00022
0.082,-0.000194
0.0825,-0.000122
0.083,-8.91E-05
0.0835,-0.000179
0.084,-5.86E-05
0.0845,-3.85E-05
0.085,1.60E-05
0.0855,6.01E-05
0.086,9.32E-05
0.0865,6.40E-05
0.087,8.48E-05
0.0875,0.000129
0.088,0.000197
0.0885,0.000209
0.089,0.00027
0.0895,0.000196
0.09,0.000244
0.0905,0.000277
0.091,0.000334
0.0915,0.000381
0.092,0.000483
0.0925,0.000492
0.093,0.000507
0.0935,0.000549
0.094,0.000588
0.0945,0.000662
0.095,0.000751
0.0955,0.000761
0.096,0.000763
0.0965,0.00086
0.097,0.000921
0.0975,0.000922
0.098,0.000993
0.0985,0.001032
0.099,0.001051
0.0995,0.001068
0.1,0.001167
0.1005,0.001155
0.101,0.001211
0.1015,0.001273
0.102,0.001297
0.1025,0.001355
0.103,0.00139
0.1035,0.001449
0.104,0.001572
0.1045,0.001614
0.105,0.001659
0.1055,0.001709
0.106,0.001735
0.1065,0.001725
0.107,0.001816
0.1075,0.001836
0.108,0.001875
0.1085,0.001896
0.109,0.001904
0.1095,0.001918
0.11,0.001979
0.1105,0.001966
0.111,0.002071
0.1115,0.002133
0.112,0.002123
0.1125,0.002262
0.113,0.002223
0.1135,0.002297
0.114,0.002373
0.1145,0.002387
0.115,0.002368
0.1155,0.002428
0.116,0.00243
0.1165,0.002513
0.117,0.00255
0.1175,0.002502
0.118,0.002576
0.1185,0.002545
0.119,0.002633
0.1195,0.002691
0.12,0.002712
0.1205,0.002727
0.121,0.002704
0.1215,0.002795
0.122,0.002784
0.1225,0.002758
0.123,0.002751
0.1235,0.00279
0.124,0.002898
0.1245,0.00281
0.125,0.002828
0.1255,0.002832
0.126,0.002827
0.1265,0.002947
0.127,0.002955
0.1275,0.002899
0.128,0.00291
0.1285,0.002918
0.129,0.003015
0.1295,0.002949
0.13,0.002858
0.1305,0.002873
0.131,0.002876
0.1315,0.003008
0.132,0.002975
0.1325,0.002845
0.133,0.002831
0.1335,0.002848
0.134,0.002922
0.1345,0.002851
0.135,0.002883
0.1355,0.002858
0.136,0.002949
0.1365,0.002993
0.137,0.002871
0.1375,0.002858
0.138,0.00285
0.1385,0.002877
0.139,0.002867
0.1395,0.002795
0.14,0.002692
0.1405,0.002716
0.141,0.002766
0.1415,0.002698
0.142,0.002631
0.1425,0.002514
0.143,0.00263
0.1435,0.002659
0.144,0.002574
0.1445,0.00252
0.145,0.002431
0.1455,0.002465
0.146,0.002486
0.1465,0.00248
0.147,0.002342
0.1475,0.002349
0.148,0.002378
0.1485,0.002307
0.149,0.002263
0.1495,0.002188
0.15,0.002107
0.1505,0.002149
0.151,0.002085
0.1515,0.002053
0.152,0.001937
0.1525,0.001949
0.153,0.001916
0.1535,0.001924
0.154,0.00184
0.1545,0.0018
0.155,0.001831
0.1555,0.001834
0.156,0.001752
0.1565,0.00169
0.157,0.001597
0.1575,0.001543
0.158,0.001513
0.1585,0.001527
0.159,0.001442
0.1595,0.001325
0.16,0.001358
0.1605,0.001332
0.161,0.001257
0.1615,0.001139
0.162,0.001102
0.1625,0.00117
0.163,0.001091
0.1635,0.001063
0.164,0.000974
0.1645,0.00093
0.165,0.000917
0.1655,0.000904
0.166,0.000786
0.1665,0.000676
0.167,0.000681
0.1675,0.000737
0.168,0.000676
0.1685,0.000529
0.169,0.000455
0.1695,0.000497
0.17,0.000534
0.1705,0.000455
0.171,0.000325
0.1715,0.000303
0.172,0.000323
0.1725,0.000332
0.173,0.000251
0.1735,0.000167
0.174,0.000124
0.1745,0.000141
0.175,0.000171
0.1755,5.82E-05
0.176,1.54E-05
0.1765,-1.32E-05
0.177,4.72E-05
0.1775,-4.56E-05
0.178,-5.34E-05
0.1785,-0.000194
0.179,-0.000138
0.1795,-8.97E-05
0.18,-0.000172
0.1805,-0.000253
0.181,-0.000326
0.1815,-0.000281
0.182,-0.000299
0.1825,-0.000377
0.183,-0.000407
0.1835,-0.00047
0.184,-0.000388
0.1845,-0.000354
0.185,-0.00039
0.1855,-0.000414
0.186,-0.00046
0.1865,-0.000442
0.187,-0.000417
0.1875,-0.000462
0.188,-0.000526
0.1885,-0.000501
0.189,-0.000495
0.1895,-0.00046
0.19,-0.000593
0.1905,-0.000609
0.191,-0.0006
0.1915,-0.00049
0.192,-0.000518
0.1925,-0.000574
0.193,-0.000662
0.1935,-0.000561
0.194,-0.000529
0.1945,-0.000504
0.195,-0.000557
0.1955,-0.000583
0.196,-0.000482
0.1965,-0.000399
0.197,-0.000456
0.1975,-0.000538
0.198,-0.000574
0.1985,-0.000441
0.199,-0.000398
0.1995,-0.000405
0.2,-0.000401
0.2005,-0.000387
0.201,-0.000407
0.2015,-0.000373
0.202,-0.000399
0.2025,-0.000448
0.203,-0.000352
0.2035,-0.000336
0.204,-0.000262
0.2045,-0.000284
0.205,-0.000249
0.2055,-0.000229
0.206,-0.000153
0.2065,-7.42E-05
0.207,-4.24E-05
0.2075,-3.26E-05
0.208,-3.72E-05
0.2085,8.15E-05
0.209,2.51E-05
0.2095,7.59E-06
0.21,3.74E-05
0.2105,0.000103
0.211,0.000162
0.2115,0.000108
0.212,0.0002
0.2125,0.000185
0.213,0.000266
0.2135,0.000358
0.214,0.000386
0.2145,0.000414
0.215,0.000529
0.2155,0.000548
0.216,0.00061
0.2165,0.00058
0.217,0.000563
0.2175,0.000594
0.218,0.000673
0.2185,0.000746
0.219,0.000704
0.2195,0.000741
0.22,0.000808
0.2205,0.00086
0.221,0.000847
0.2215,0.000903
0.222,0.000998
0.2225,0.001088
0.223,0.001137
0.2235,0.001183
0.224,0.001208
0.2245,0.001186
0.225,0.001273
0.2255,0.001363
0.226,0.001354
0.2265,0.001406
0.227,0.001423
0.2275,0.001475
0.228,0.001518
0.2285,0.001576
0.229,0.00155
0.2295,0.00163
0.23,0.001742
0.2305,0.00175
0.231,0.001766
0.2315,0.00187
0.232,0.00188
0.2325,0.001991
0.233,0.002008
0.2335,0.001987
0.234,0.00205
0.2345,0.002088
0.235,0.002142
0.2355,0.002159
0.236,0.002163
0.2365,0.002242
0.237,0.002278
0.2375,0.002315
0.238,0.002347
0.2385,0.002374
0.239,0.00236
0.2395,0.002487
0.24,0.00247
0.2405,0.002497
0.241,0.002558
0.2415,0.002555
0.242,0.002617
0.2425,0.002681
0.243,0.002693
0.2435,0.002653
0.244,0.002709
0.2445,0.002767
0.245,0.002727
0.2455,0.002719
0.246,0.002755
0.2465,0.002758
0.247,0.002876
0.2475,0.002855
0.248,0.002772
0.2485,0.002811
0.249,0.002853
0.2495,0.002894
0.25,0.00291
0.2505,0.002906
